,PIN,Property Class,Neighborhood Code,Town Code,Type of Residence,Building Square Feet,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Longitude,Latitude,Census Tract,Property Address,Age,Neighborhood Code
0,28251090540000,241,260,13,,,4000.0,0.0,-87.6939783641996,41.580356716459,825503.0,16955  KEDZIE AVE,10,260
1,28251170211022,299,260,13,,,3470.0,75810.0,-87.6900374213119,41.5796000250534,825503.0,17008  NOVAK DR,40,260
2,28252040400000,241,120,13,,,2040.0,0.0,-87.6772510081601,41.5812188427003,825503.0,2432  170TH ST,10,120
3,28251170211020,299,260,13,,,2990.0,43750.0,-87.6900374213119,41.5796000250534,825503.0,17008  NOVAK DR,40,260
4,28251170211015,299,260,13,,,2780.0,48050.0,-87.6900374213119,41.5796000250534,825503.0,17008  NOVAK DR,40,260
5,28251170211023,299,260,13,,,2780.0,60780.0,-87.6900374213119,41.5796000250534,825503.0,17008  NOVAK DR,40,260
6,28253050210000,241,260,13,,,16120.0,0.0,-87.6851059893219,41.5777690144512,825503.0,17116  CALIFORNIA AVE,10,260
7,28251170211019,299,260,13,,,2780.0,60760.0,-87.6900374213119,41.5796000250534,825503.0,17010  NOVAK DR,40,260
8,28251170211014,299,260,13,,,3470.0,75810.0,-87.6900374213119,41.5796000250534,825503.0,17008  NOVAK DR,40,260
9,28251170211009,299,260,13,,,3470.0,75810.0,-87.6900374213119,41.5796000250534,825503.0,17010  NOVAK DR,40,260
10,28251170211013,299,260,13,,,3470.0,50800.0,-87.6900374213119,41.5796000250534,825503.0,17008  NOVAK DR,40,260
11,28251170211012,299,260,13,,,2990.0,65280.0,-87.6900374213119,41.5796000250534,825503.0,17008  NOVAK DR,40,260
12,28251090550000,203,260,13,1.0,1401.0,13540.0,81420.0,-87.6939865213976,41.5802481172394,825503.0,16961  KEDZIE AVE,60,260
13,28251140430000,203,260,13,1.0,1485.0,15460.0,74320.0,-87.6939910851915,41.5798924670709,825503.0,17001  KEDZIE AVE,60,260
14,28251140440000,203,260,13,1.0,1170.0,12650.0,58500.0,-87.6939910915802,41.5797311275312,825503.0,17007  KEDZIE AVE,60,260
15,28251140450000,234,260,13,4.0,1304.0,19260.0,72760.0,-87.6936251028986,41.5798191307502,825503.0,3141  170TH ST,61,260
16,28251140460000,203,260,13,1.0,1433.0,19210.0,77060.0,-87.6933936917803,41.5798185968958,825503.0,3135  170TH ST,60,260
17,28251160130000,204,260,13,1.0,2063.0,61740.0,67030.0,-87.6891070992799,41.5813410635013,825503.0,16921  HOLMES AVE,49,260
18,28251160140000,204,260,13,1.0,2778.0,57280.0,130300.0,-87.6891422814155,41.5815924214732,825503.0,16917  HOLMES AVE,10,260
